City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bredasdorp,0,ZA,1570554663,40,-34.53,20.04,71.6,16.11
Qaanaaq,86,GL,1570554663,67,77.48,-69.36,20.03,10.27
Butaritari,100,KI,1570554663,66,3.07,172.79,85.37,12.02
Prince Rupert,1,CA,1570554630,69,54.32,-130.32,39.2,8.05
Bubaque,98,GW,1570554663,76,11.28,-15.83,81.59,13.09
San Jose,40,HN,1570554610,62,14.25,-87.96,84.2,6.93
Husavik,6,CA,1570554664,50,50.56,-96.99,61.0,7.0
Ushuaia,75,AR,1570554557,91,-54.81,-68.31,41.0,23.04
Mataura,100,NZ,1570554664,97,-46.19,168.86,50.0,1.42
Eyemouth,49,GB,1570554664,83,55.87,-2.09,54.0,28.99
Yellowknife,75,CA,1570554664,86,62.45,-114.38,28.4,16.11
Rochegda,100,RU,1570554665,97,62.67,43.41,32.63,15.1
Zhigansk,99,RU,1570554665,94,66.77,123.37,22.37,7.72
Hobart,90,AU,1570554665,65,-42.88,147.33,46.4,9.17
Te Anau,100,NZ,1570554665,97,-45.41,167.72,46.13,2.26
Adrar,0,DZ,1570554666,19,27.87,-0.29,89.6,17.22
Verkhnyaya Toyma,100,RU,1570554666,93,62.24,45.0,34.25,14.33
Albany,75,US,1570554666,52,42.65,-73.75,64.4,3.36
Skjervoy,20,NO,1570554666,63,70.03,20.97,39.2,8.05
Cairns,40,AU,1570554650,100,-16.92,145.77,63.0,3.36
Tuktoyaktuk,20,CA,1570554666,86,69.44,-133.03,26.6,13.87
Punta Arenas,75,CL,1570554623,45,-53.16,-70.91,48.0,33.33
Nemuro,58,JP,1570554667,69,43.32,145.57,56.21,32.95
Sao Filipe,13,CV,1570554667,81,14.9,-24.5,77.45,9.91
Dodge City,1,US,1570554616,34,37.75,-100.02,71.01,31.09
Tiksi,100,RU,1570554667,83,71.64,128.87,23.63,16.78
Thompson,75,CA,1570554667,81,55.74,-97.86,50.0,4.7
San Patricio,0,PY,1570554667,38,-26.98,-56.83,83.57,5.23
Taltal,0,CL,1570554668,49,-25.41,-70.49,66.11,6.11
Bluff,34,AU,1570554668,32,-23.58,149.07,68.45,12.3
Lazaro Cardenas,5,MX,1570554668,53,28.39,-105.62,81.0,13.87
Namibe,90,AO,1570554668,69,-15.19,12.15,73.4,13.87
Victoria,75,BN,1570554588,94,5.28,115.24,77.0,6.49
Busselton,100,AU,1570554669,50,-33.64,115.35,61.0,11.72
Arraial do Cabo,40,BR,1570554669,78,-22.97,-42.02,80.6,10.29
Souillac,90,FR,1570554669,93,45.6,-0.6,64.0,11.41
Rikitea,100,PF,1570554669,85,-23.12,-134.97,67.19,11.79
Cockburn Town,79,TC,1570554669,80,21.46,-71.14,82.85,15.81
Labuhan,0,ID,1570554669,85,-2.54,115.51,72.59,1.85
Lloydminster,90,CA,1570554670,79,53.28,-110.01,26.6,14.99
Udachnyy,90,RU,1570554670,92,66.42,112.4,17.6,8.95
Mucurapo,20,TT,1570554670,94,10.67,-61.53,77.0,6.93
Butembo,100,CD,1570554670,89,0.12,29.29,63.77,2.55
Chuy,0,UY,1570554670,54,-33.69,-53.46,70.25,8.75
Hermanus,17,ZA,1570554670,70,-34.42,19.24,66.99,5.01
Vaini,29,IN,1570554671,95,15.34,74.49,69.53,0.5
Puerto Ayora,40,EC,1570554671,64,-0.74,-90.35,75.2,20.8
Touros,40,BR,1570554671,48,-5.2,-35.46,86.0,18.34
Chiang Rai,0,TH,1570554671,94,19.9,99.84,73.4,3.36
Mangrol,26,IN,1570554671,68,25.33,76.51,79.07,4.12
Barrow,66,AR,1570554672,37,-38.31,-60.23,64.31,13.05
Atuona,5,PF,1570554672,73,-9.8,-139.03,79.07,14.88
Bethel,90,US,1570554672,93,60.79,-161.76,44.6,8.05
Anloga,40,GH,1570554672,83,5.79,0.9,82.4,10.29
Pitimbu,75,BR,1570554672,62,-7.47,-34.81,84.2,16.11
Airai,0,TL,1570554673,69,-8.93,125.41,63.23,4.34
Menongue,100,AO,1570554673,45,-14.66,17.68,71.87,3.8
Port Alfred,0,ZA,1570554673,86,-33.59,26.89,63.0,7.23
New Norfolk,90,AU,1570554673,65,-42.78,147.06,46.4,9.17
San Juan,87,AR,1570554673,25,-31.54,-68.53,63.23,9.17
Hithadhoo,0,MV,1570554674,72,-0.6,73.08,82.31,9.82
Bafia,46,CM,1570554674,94,4.74,11.22,70.07,2.47
University Park,1,US,1570554674,38,32.86,-96.79,75.99,8.05
Sonqor,40,IR,1570554674,24,34.78,47.6,71.6,9.17
Honiara,40,SB,1570554674,100,-9.43,159.96,75.2,4.7
Agadir,40,MA,1570554674,72,30.42,-9.58,68.0,13.87
Makaryev,89,RU,1570554675,83,57.88,43.81,32.63,8.07
Dasoguz,0,TM,1570554675,48,41.84,59.97,68.0,4.7
Fortuna,20,US,1570554675,93,40.6,-124.16,59.0,5.82
Moose Factory,1,CA,1570554675,71,51.26,-80.61,50.0,12.75
Khatanga,55,RU,1570554675,91,71.98,102.47,17.15,7.16
Cidreira,90,BR,1570554676,68,-30.17,-50.22,69.89,15.77
Port Elizabeth,1,US,1570554676,52,39.31,-74.98,66.2,13.87
Sorong,77,ID,1570554676,95,-0.86,131.25,75.11,5.59
Baruun-Urt,0,MN,1570554676,44,46.68,113.28,43.25,11.52
Kodiak,1,US,1570554676,42,39.95,-94.76,68.0,16.11
Wairoa,69,NZ,1570554676,71,-39.04,177.43,55.99,7.0
Ighiu,20,RO,1570554677,65,46.14,23.52,46.4,4.7
Lebu,73,ET,1570554677,86,8.96,38.73,52.25,4.29
Jamestown,0,AU,1570554677,90,-33.21,138.6,37.85,8.57
Bandarbeyla,0,SO,1570554677,77,9.49,50.81,77.45,8.63
Saint-Philippe,1,CA,1570554677,54,45.36,-73.48,62.01,5.82
Uyemskiy,90,RU,1570554678,100,64.47,40.85,33.8,8.95
